type,key,value
pincode,600001,0.15
pincode,600002,0.10
pincode,600003,0.25
pincode,600004,0.30
pincode,600005,0.18
pincode,600006,0.40
pincode,600007,0.12
pincode,600008,0.35
pincode,600009,0.22
pincode,600010,0.50
pincode,600011,0.28
pincode,600012,0.33
pincode,600013,0.19
pincode,600014,0.27
pincode,600015,0.42
pincode,600016,0.21
pincode,600017,0.38
pincode,600018,0.16
pincode,600019,0.29
pincode,600020,0.24
channel,UPI,0.45
channel,IMPS,0.35
channel,WEB-TRF,0.20
channel,ATM-WDL,0.60
channel,APP-P2P,0.38
channel,NEFT,0.25
channel,RTGS,0.18
channel,CASH,0.70
channel,POS,0.32
channel,NETBANKING,0.22
