type,key,value
pincode,600001,0.72
pincode,600002,0.65
pincode,600004,0.58
pincode,600006,0.81
pincode,600007,0.77
pincode,600010,0.45
pincode,600011,0.69
pincode,600015,0.53
pincode,600017,0.41
pincode,600019,0.88
pincode,600020,0.62
pincode,600025,0.35
pincode,600026,0.74
pincode,600028,0.49
pincode,600029,0.83
pincode,600032,0.57
pincode,600040,0.44
pincode,600042,0.91
pincode,600046,0.38
pincode,600053,0.66
pincode,600063,0.79
pincode,600082,0.55
pincode,600091,0.42
pincode,600097,0.87
pincode,600100,0.61
pincode,600101,0.33
pincode,600102,0.76
pincode,600103,0.48
pincode,600104,0.85
pincode,600105,0.52
channel,ATM,0.75
channel,UPI,0.4
channel,IMPS,0.45
channel,APP,0.5
channel,WEB,0.3
channel,NEFT,0.2
channel,RTGS,0.15
channel,NETBANKING,0.25
channel,OTHER,0.5
